Att,Cmp,Pct,Yds,YPA,TD%,Int,Int%,Lg,Sack,Loss,Rate,TD
141,77,54.6,1215,8.6,3.5,3,2.1,70,15,99,86.5,5
96,57,59.4,615,6.4,5.2,3,3.1,47,6,48,82.6,5
90,55,61.1,717,8,1.1,5,5.6,52,3,26,66.8,1
86,42,48.8,481,5.6,1.2,7,8.1,67,12,67,36,1
59,26,44.1,309,5.2,1.7,3,5.1,59,2,11,45.1,1
51,33,64.7,398,7.8,3.9,2,3.9,39,0,0,85.3,2
49,30,61.2,300,6.1,0,4,8.2,26,3,24,44.6,0
38,25,65.8,248,6.5,2.6,1,2.6,48,2,11,81.9,1
31,16,51.6,156,5,3.2,1,3.2,25,4,23,63.4,1
24,16,66.7,139,5.8,0,1,4.2,17,4,25,64.4,0
22,15,68.2,113,5.1,0,2,9.1,20,2,7,42.4,0
16,11,68.8,95,5.9,0,0,0,19,2,8,84.1,0
16,8,50,57,3.6,0,2,12.5,9,1,6,19,0
13,10,76.9,151,11.6,7.7,0,0,35,0,0,140.2,1
12,7,58.3,130,10.8,0,1,8.3,57,0,0,61.1,0
7,5,71.4,34,4.9,0,0,0,14,0,0,81.8,0
6,2,33.3,53,8.8,0,2,33.3,50,0,0,27.1,0
5,1,20,2,0.4,0,1,20,2,0,0,0,0
3,2,66.7,38,12.7,0,0,0,25,0,0,109.7,0
2,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,15,15,0,0,0,15,1,7,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,2,2,100,0,0,0,0,0,118.8,1
1,1,100,8,8,100,0,0,0,0,0,139.6,1
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,11,11,100,0,0,11,0,0,152.1,1
1,1,100,30,30,0,0,0,30,0,0,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,13,13,0,0,0,13,0,0,118.8,0
1,1,100,16,16,100,0,0,16,0,0,158.3,1
1,1,100,17,17,0,0,0,17,0,0,118.8,0
1,1,100,30,30,0,0,0,30,0,0,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,22,22,0,0,0,22,0,0,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,21,21,100,0,0,21,0,0,158.3,1
1,1,100,25,25,0,0,0,25,0,0,118.8,0
1,1,100,-8,-8,0,0,0,-8,0,0,79.2,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
663,421,63.5,5038,7.6,6.2,16,2.4,73,36,257,97.2,41
657,468,71.2,5476,8.3,7,14,2.1,79,24,158,110.6,46
611,401,65.6,5235,8.6,6.4,12,2,99,32,173,105.6,39
589,359,61,4933,8.4,4.9,16,2.7,99,28,199,92.9,29
582,366,62.9,4624,7.9,4.6,20,3.4,58,30,198,88.7,27
569,353,62,3832,6.7,4.2,23,4,60,22,148,79.1,24
566,347,61.3,4177,7.4,5.1,12,2.1,80,26,173,92.2,29
551,346,62.8,3592,6.5,2.9,22,4,65,29,164,74.6,16
543,308,56.7,3474,6.4,4.8,18,3.3,74,39,243,78.2,26
542,312,57.6,3610,6.7,3.7,12,2.2,74,31,203,80.9,20
522,346,66.3,4184,8,5.9,10,1.9,77,36,227,102.5,31
518,319,61.6,3571,6.9,3.5,14,2.7,80,19,153,82.4,18
517,310,60,4051,7.8,4.1,17,3.3,91,35,260,84.5,21
516,300,58.1,3398,6.6,3.9,13,2.5,84,24,160,80.4,20
513,324,63.2,4077,7.9,4.1,14,2.7,95,40,269,90.1,21
502,343,68.3,4643,9.2,9,6,1.2,93,36,219,122.5,45
463,265,57.2,2733,5.9,3,11,2.4,56,32,173,74.6,14
458,265,57.9,3151,6.9,3.5,20,4.4,51,25,201,72.4,16
450,271,60.2,3091,6.9,3.1,13,2.9,61,42,293,79.2,14
445,273,61.3,3144,7.1,3.8,5,1.1,56,44,263,90.7,17
423,253,59.8,3303,7.8,4.3,14,3.3,73,23,126,84.9,18
413,210,50.8,2214,5.4,2.9,11,2.7,74,40,293,65.4,12
357,191,53.5,2164,6.1,1.7,6,1.7,68,36,248,70.5,6
347,210,60.5,2497,7.2,4.6,9,2.6,65,36,229,87.1,16
328,199,60.7,2753,8.4,4,16,4.9,78,17,119,80.5,13
314,182,58,2319,7.4,4.1,7,2.2,56,23,159,85.7,13
292,178,61,2479,8.5,5.1,6,2.1,80,16,98,96.8,15
291,158,54.3,1853,6.4,4.5,13,4.5,72,30,164,70.1,13
275,151,54.9,1913,7,4,14,5.1,60,23,162,68.9,11
271,126,46.5,1729,6.4,4.4,6,2.2,56,33,225,72.9,12
269,160,59.5,1713,6.4,3.7,9,3.3,52,22,120,76.6,10
253,146,57.7,1955,7.7,3.6,8,3.2,73,30,219,81.1,9
252,150,59.5,1758,7,3.6,9,3.6,52,10,54,77.8,9
243,132,54.3,1541,6.3,2.5,9,3.7,87,16,104,66.6,6
193,122,63.2,1201,6.2,3.1,4,2.1,40,14,84,82.4,6
165,100,60.6,1170,7.1,3.6,4,2.4,58,5,19,84.2,6
156,94,60.3,1026,6.6,2.6,2,1.3,60,16,113,82.9,4
134,80,59.7,796,5.9,1.5,7,5.2,38,11,83,59.8,2
134,82,61.2,949,7.1,2.2,3,2.2,50,15,74,80.7,3
132,80,60.6,858,6.5,1.5,4,3,32,16,84,72.1,2
114,66,57.9,866,7.6,3.5,9,7.9,58,8,34,60.8,4
112,64,57.1,868,7.8,3.6,4,3.6,41,11,67,79,4
107,55,51.4,567,5.3,1.9,2,1.9,76,6,30,65.4,2
102,51,50,613,6,2.9,9,8.8,81,19,133,41.8,3
98,48,49,481,4.9,2,1,1,36,5,40,65.9,2
97,53,54.6,548,5.6,1,2,2.1,34,10,72,66,1
91,48,52.7,546,6,2.2,1,1.1,36,9,68,73.8,2
66,34,51.5,542,8.2,6.1,0,0,54,5,37,99.4,4
63,34,54,376,6,4.8,2,3.2,36,3,21,74.6,3
56,30,53.6,296,5.3,0,4,7.1,26,4,38,39,0
56,27,48.2,298,5.3,1.8,1,1.8,38,8,46,62.9,1
55,35,63.6,414,7.5,3.6,4,7.3,49,7,43,68.3,2
49,33,67.3,518,10.6,12.2,2,4.1,80,5,18,124.8,6
38,24,63.2,182,4.8,2.6,0,0,19,3,25,83.4,1
36,19,52.8,246,6.8,2.8,2,5.6,42,3,24,60.6,1
28,15,53.6,161,5.8,0,3,10.7,27,3,19,31.1,0
28,18,64.3,211,7.5,3.6,0,0,40,2,18,99,1
28,18,64.3,188,6.7,0,1,3.6,22,0,0,68.8,0
24,15,62.5,208,8.7,0,1,4.2,46,2,10,72.9,0
22,10,45.5,86,3.9,4.5,1,4.5,23,1,6,52.5,1
18,8,44.4,109,6.1,5.6,1,5.6,41,1,7,59.7,1
